Initialization time,0.0974419

Iteration;Time since initialization (s);Iteration time (s)
1;0.228409;0.130967
2;0.343072;0.114623
3;0.45666;0.113568
4;0.570371;0.11369
5;0.683835;0.113429
6;0.809335;0.12548
7;0.93345;0.124079
8;1.04641;0.112943
9;1.15991;0.113486
10;1.27383;0.1139
11;1.38712;0.113272
12;1.50054;0.113409
13;1.6141;0.113542
14;1.72979;0.115676
15;1.84355;0.113741
16;1.9548;0.111201
17;2.06884;0.114026
18;2.18095;0.112054
19;2.29507;0.114108
20;2.41127;0.116171
21;2.52567;0.114384
22;2.63952;0.113841
23;2.75884;0.119273
24;2.87872;0.119865
25;2.99511;0.116358
26;3.10846;0.113333
27;3.22067;0.112166
28;3.33501;0.114306
29;3.56949;0.234469
30;3.69449;0.124988
31;3.81819;0.123653
32;3.94455;0.126342
33;4.06185;0.117285
34;4.1753;0.113438
35;4.28714;0.111796
36;4.40588;0.11872
37;4.52381;0.117888
38;4.63652;0.112698
39;4.76176;0.125222
40;4.87791;0.116134
41;4.98953;0.111599
42;5.10319;0.113648
43;5.21722;0.114008
44;5.33065;0.113415
45;5.54958;0.218886
46;5.67687;0.127275
47;5.79243;0.115504
48;5.90714;0.11469
49;6.02421;0.117037
50;6.1355;0.111241
51;6.25053;0.115021
52;6.36461;0.114063
53;6.47915;0.114522
54;6.5938;0.114607
55;6.71592;0.122108
56;6.83052;0.114578
57;6.94545;0.114915
58;7.05679;0.111299
59;7.17169;0.114888
60;7.2863;0.114595
61;7.52112;0.234785
62;7.64393;0.122769
63;7.76811;0.124166
64;7.89386;0.125683
65;8.01076;0.116849
66;8.12459;0.113794
67;8.23956;0.114957
68;8.35201;0.112408
69;8.46943;0.117385
70;8.58368;0.114212
71;8.69825;0.114556
72;8.82387;0.125581
73;8.94847;0.124537
74;9.06456;0.116076
75;9.1782;0.113633
76;9.29303;0.114808
77;9.40716;0.114093
78;9.5262;0.119001
79;9.65818;0.131922
80;9.79894;0.140714
81;9.94053;0.141572
82;10.0702;0.129699
83;10.1912;0.120917
84;10.3042;0.112982
85;10.5094;0.205099
86;10.6329;0.123536
87;10.7521;0.119144
88;10.8797;0.127586
89;10.9985;0.118775
90;11.1121;0.113633
91;11.2245;0.112345
92;11.339;0.114443
93;11.4537;0.114724
94;11.5694;0.115607
95;11.6837;0.114331
96;11.8063;0.122505
97;11.9308;0.12455
98;12.0448;0.113947
99;12.1602;0.115315
100;12.2725;0.112242
101;12.3882;0.115709
102;12.5035;0.115282
103;12.6181;0.114547
104;12.7381;0.119958
105;12.8641;0.125971
106;12.9811;0.11692
107;13.0959;0.114779
108;13.2107;0.114781
109;13.3257;0.115049
110;13.4367;0.110901
111;13.5512;0.114517
112;13.6657;0.114419
113;13.7884;0.122689
114;13.914;0.125612
115;14.0289;0.114837
116;14.1406;0.11167
117;14.2558;0.115179
118;14.3698;0.113913
